802269,29544,152923,65696,5894,2829,2725,5485,43979,4871,1
0,138,0,0,162,0,0,0,0,0,1
43398,19341,103702,21427,15721,1586,57596,125704,6681,3488,1
7285,56995,756,1619,9555,124,124,1609,57448,1213,1
1395,90889,181575,945,96298,8099,31804,157582,30258,14402,1
5205,39737,22828,60938,23598,65318,6340,35931,21247,1615,0
3768,26915,18552,43704,2842,6140,1389,9423,6468,1846,1
48089,2860,14043,32076,96299,33557,15806,201078,6319,43549,0
1322327,188170,16668,27698,13254,15706,17850,182641,38497,56794,0
5013,7351,55051,1501,8206,5158,1338,320018,12231,247704,1
666232,36797,171,1072,23459,3100,40729,46757,32344,71047,1
34819,261099,63966,147687,33060,39928,23788,16754,84152,7100,1
3213,6664,28766,7627,169266,118081,8945,46836,127353,20846,1
112918,98310,13094,5613,29136,92533,11563,46412,29505,25299,0
45187,113776,547001,102439,4500,9681,11991,38748,65405,3148,0
7143,3186,184498,4799,9907,40684,69190,30154,127083,6980,0
2258,3436,1274,236,30553,0,0,0,375,5141,1
32318,1518,3340,24894,70556,31921,11893,72628,23018,25930,1
1613,56397,209,2989,13248,1107,32026,4028,45328,38603,0
342443,29522,255187,10099,85315,25207,3282,28457,26454,28854,1
397513,69703,26384,227786,32680,64266,74415,9993,12779,9147,0
5297,14984,8915,27240,8387,1722,15601,1988,2108,3561,1
200,4259,11995,64624,1936,25973,101740,30406,222838,61615,0
287,4008,26629,24397,10043,7352,8919,8977,2698,4344,0
13471,84069,48197,29794,3731,1290,21785,18466,37452,3790,1
4243,12405,102,27871,20795,0,0,0,0,0,1
2792,115,120,3177,2809,4988,11454,3692,13947,11305,0
1582,5629,1584,633,7379,4653,13286,3878,2589,2241,1
0,0,190,0,161,0,0,0,0,0,1
2524,39895,275355,34618,6854,36530,5238,15603,8490,20952,0
12857,1574,61620,47451,3426,6349,31489,60102,12445,51330,0
165884,50637,21924,81943,148213,162906,6574,37289,14315,57894,1
1228,97595,167307,2526,9065,25120,0,0,0,0,1
426577,32452,320539,25868,220358,372132,773362,4791,23822,47545,0
83611,964,197,16276,2524,63511,4071,1284,3029,18560,0
39901,4914,13600,11399,20597,31723,69301,190605,88110,3678,0
98479,618,1771,618,1303,115,419,27004,272,1038,1
5116,1688,3736,5182,12986,980,6456,13382,842,1577,0
18668,8298,20929,27877,177698,139767,29807,273432,42157,24681,1
3975,13947,66679,5896,4769,8253,3427,4563,212,6071,1
16527,6753,6232,11082,41011,297378,19119,1775,44789,2451,1
6462,40723,22738,80509,107530,77398,20621,16290,121108,2925,1
7818,3977,17679,5331,2186,2998,6520,9082,1187,3280,0
42776,35586,58235,8565,21667,2583,143556,124151,16972,27527,1
94008,29431,4113,43101,50682,139246,138022,192473,490,2844,1
101612,4806,33066,3714,78042,73384,4753,7048,12048,113872,1
2333,0,12519,14504,2533,0,0,0,0,0,1
28549,500291,20469,31528,14267,34683,15703,26161,7005,26160,1
449,1721,124,53836,5316,8159,8640,8470,2182,10299,0
28282,336785,18116,215882,10497,8991,3039,82065,30702,216826,1
4806,19111,4567,3193,9078,8787,50585,4071,1092,140,1
0,1412,1368,0,1419,0,0,0,0,0,1
5375,4683,204,1549,31532,1167,2292,141320,6271,11917,0
6446,183,5575,1301,2501,1092,4874,1114,8619,9437,0
186724,9770,89204,147323,21168,79974,62277,24243,37193,30525,1
6543,73027,13792,1845,17392,2401,1418,23883,12254,32334,1
14638,18146,30842,17056,5581,42588,0,0,0,0,1
72006,77229,4988,34723,4140,45191,37530,27667,18707,113082,1
1612,0,0,0,1856,0,0,0,0,0,1
1243,24372,21605,2832,13862,33002,5481,10082,40609,1600,1
79664,98184,21631,6266,2922,1458373,10445,16737,42438,25420,0
87668,5876,1075,24213,2634,1078,12066,90961,3095,2987,1
5860,1786,8074,129,6260,11976,14713,36207,2856,39183,0
615,3035,615,2208,2625,90,92,3427,5139,90,1
10234,539,47861,33789,1181,47221,72478,8113,3686,41862,0
9676,860,8419,518,518,10173,91,12692,89,767,1
41519,7373,201,0,0,0,0,0,0,0,1
15079,53231,1877,16744,1162,4832,2432,1926,767,19249,1
2457,13932,10262,29443,85,83313,2404,8328,560,6596,0
21158,28863,989,38836,76460,12645,26574,107013,7101,11062,1
42006,2302,108866,17582,28398,1859,74798,12434,57766,62662,0
151709,289201,65425,33136,105257,30244,15922,11628,5847,137691,1
32743,1755,3648,13146,26566,4142,11647,975,5832,24352,0
40472,183695,16577,33722,23245,52186,20790,51882,36004,12032,1
32565,58976,110723,29472,75858,8385,78606,16129,61566,8369,1
9358,17512,13377,8506,12928,11092,99422,141770,3867,31598,0
96807,16595,165636,26062,30966,1593,21816,24065,30499,32610,1
16237,1226,14159,11310,32380,10447,7192,34009,48288,67873,0
722,9917,4689,40970,1329,3893,3172,2230,59752,5067,0
47270,29774,7297,35399,31380,31554,112241,6312,32586,9255,0
0,0,6092,0,0,0,0,0,0,0,1
106576,50133,10164,8443,163083,4530,152,13378,155,21553,1
5424,33079,2672,6877,44076,214380,95192,4192,10685,11564,0
7950,11027,7154,356,2148,19154,4363,43191,77769,875,0
20665,26814,63576,522827,15337,52378,78416,61094,29210,9442,0
93849,1816,7001,28228,11216,46347,43350,313714,167160,26924,1
485145,11990,50851,11138,23038,40628,92590,599363,16806,83628,1
0,455,25229,4119,13986,0,0,0,0,0,1
31865,72272,34076,5145,52369,311,11997,10816,6754,1338,1
3494,35175,2879,31657,19807,106544,3822,31126,29498,19166,1
9705,0,0,0,741,0,0,0,0,0,1
6508,2498,12230,2992,17746,3147,9344,2459,4447,1517,1
152831,12617,28228,6862,39523,89947,19900,23158,29470,166901,1
167,4241,16724,13258,18025,3144,11066,4208,29742,9326,0
3948,106,18555,2291,812,1653,3880,652,124658,13686,0
1677,8815,1269,8528,10472,5945,27971,4096,6245,95,1
33914,9064,117795,10378,23568,10986,31063,2556,20377,8775,1
0,4732,20478,2945,0,0,0,0,0,0,1
70563,23481,17679,126195,45202,19093,1276,5301,5993,11323,1
19764,22512,5163,22447,4532,40457,11762,1118,196056,5244,0
20505,10350,7329,138467,33310,30239,10430,19814,618108,55885,0
1927,2257,0,21689,66967,0,0,0,0,0,1
11066,1572,1118,12628,29703,35588,185,14327,5388,36153,1
10684,387637,20392,50387,8506,23713,27154,220239,1841,15586,1
11433,15700,7760,1666,8830,3526,945,16944,14148,816,0
144,144,39680,19010,7892,35479,11882,7863,1620,9333,0
25365,21462,16772,4710,64304,14750,45233,2925,1420,2680,0
12562,26710,3653,27337,15149,16645,1313,87393,216335,94058,1
5213,4102,2998,22067,3076,27013,13065,1781,10625,3727,0
8799,4097,28156,8503,45139,219413,92749,16356,5299,38522,1
13643,201517,81909,1102,520,62167,164259,43092,27822,9837,0
720527,4631,235,165570,74943,2200,75786,1201,59529,257963,0
2900,54219,23235,25221,5488,5395,37625,29845,9162,26667,1
29053,184004,337,20164,6800,16510,11197,11726,180281,2715,0
111,30526,14597,10052,12222,6257,2598,10497,17565,4930,0
9308,10557,14817,82549,3866,19422,9850,108201,55989,35661,1
7616,10499,4256,10568,8503,123278,14492,27825,6110,54319,0
1057,1057,37079,37455,1364,2859,188117,17245,2791,327731,1
8724,171890,145133,86996,119724,13344,76116,9146,510613,3134,0
34635,66209,10141,55518,7098,11691,22270,17140,14902,60348,1
53339,72621,203871,29388,295327,99586,6370,21439,4018,9704,0
2110,7313,203,962,8249,517,3638,1343,258,2155,1
8876,4768,110929,8818,11442,3946,42273,128234,73881,124537,1
24631,60185,3661,67283,1829,116325,237294,340251,11408,11885,0
