3000,10
0,2043,0,0,0,0,0,0,0,0,1
25174,3599,11775,22838,15515,7317,56284,2014,3219,833,1
14025,4831,8980,7870,10673,2732,8972,4325,1778,10767,0
16709,3965,5698,15847,43616,15031,9801,2340,139346,3452,1
419469,326177,68238,6586,9996,34065,40258,85741,6007,75916,0
6865,8072,0,6842,13331,0,0,0,0,0,1
32828,149410,3195,784323,23879,112765,16675,8357,21543,44616,1
25285,11128,8587,35624,28410,2665,168,25667,5348,13336,1
1682,1194,119,5579,402,4343,5734,30088,2647,835,0
10752,3777,309785,33279,22337,14850,2979,17893,23929,43893,1
9022,18478,17571,15658,13867,7039,1124,13757,7786,106550,1
27885,92373,22320,143480,4626,5711,484563,14836,5283,72980,1
11555,27051,65061,7278,101110,42554,29012,191769,421,36007,1
3692,63959,177140,94036,39738,8067,86740,42997,6166,15763,1
7418,1076,8478,23256,1076,205,1225,5405,2625,19678,1
2641,13426,3660,60896,311466,142695,36420,40532,8117,841852,1
9530,4060,5527,844,34690,8427,52641,2742,221,2616,1
4031,22069,196,37701,14080,7161,7901,1399,5572,57592,0
67130,4131,9689,11686,53633,20221,20225,17032,73369,18462,1
18304,1068,8277,10710,2626,6408,10232,2767,32206,791,1
455614,63086,6719,2464,1912,26264,20741,11362,4496,82000,0
3495,5335,9394,1949,41387,7784,165,75398,125893,64607,1
4939,40589,24372,12588,18927,27565,3683,11895,19169,54299,0
22307,24256,0,0,169,0,0,0,0,0,1
7750,23546,31456,28271,3050,13445,14228,1300,15121,18569,1
6736,18864,825,2047,16008,6265,51671,6251,142,993,1
557335,499296,61191,5078,13717,11116,23984,7560,21958,55502,0
42366,10264,68798,98976,78071,9820,194367,21661,3998,1829,1
593,1456,5740,45849,604,78,5646,80,3358,3599,1
126205,10883,2185,1538,6872,28735,8769,2113,11057,1240,1
44655,11459,4121,17948,10533,27218,4704,13241,98463,8604,0
20003,4123,13422,4645,2845,82239,3700,27415,13770,3791,0
98190,6337,1604,5366,3030,40871,49277,4367,12128,122674,0
19743,598,15056,239,5355,8654,28816,8169,6736,69890,0
2757,2772,1149,716,3721,682,0,0,0,0,1
2141,265429,78746,82066,275766,220647,18324,22733,47889,45840,1
31100,5454,92337,5755,249986,6674,5992,66791,191568,4930,0
11503,9227,19378,9981,17569,100685,1779,404190,18811,11485,0
34337,14953,183,349,5647,26603,27684,20918,13705,21405,0
2887,18993,11479,139687,92855,8259,28406,137836,177108,76898,1
26289,396102,29563,6521,20853,1851,190861,20323,156,11542,1
18215,35676,86659,30662,666325,2253,26047,28727,54150,193418,1
5389,18035,64195,2445,1138,25065,7257,3336,6676,14983,1
5596,7105,21278,30226,15163,23076,2811,10471,49239,26289,0
9204,9511,8980,7303,5598,1283,5528,93,93,9285,1
1657,909,2931,143,31582,3023,2912,17892,871,4068,0
42467,3945,32837,7683,14708,539876,188221,43299,83238,33303,0
4384,11587,2055,1883,23399,22073,1188,16686,2720,6385,0
131348,9709,10106,5995,29375,12776,402186,1575352,141499,150820,0
8701,4618,3270,34810,5204,5061,1571,52560,2699,14331,0
35595,64199,5474,5784,3300,7675,3468,20911,6671,5054,0
4668,7081,400794,31566,421410,9885,104010,16206,59442,56222,1
55967,25011,528,5138,15774,17722,81681,236098,4263,64799,0
6303,1954,94116,18331,891,725,365,169,169,2129,1
1683,73,2878,2540,4602,2004,0,0,0,0,0
159,89594,3032,17234,1740,4734,37507,94032,318157,101103,0
22452,16101,102651,43483,16285,2353,503,9153,37998,10254,1
24813,19011,146,79098,1713,37524,17652,114851,4946,1044,0
12018,5277,57851,4666,46835,22282,4121,1612,1288,4588,0
9326,51332,20120,5131,8334,36658,4087,3007,152637,49561,1
9883,4990,6064,24054,3879,2516,44642,58328,19338,11140,1
31962,1681,19976,4388,36144,76711,11711,15787,30920,5021,1
